review,score
"억지설정, 개연성 개판, PC사상 가득한 영화, 후반으로 갈수록 개그물로 변질되고 영화보고 나오면 기분 굉장히 찝찝함, 중반부터 영화 끝나는 시간만 기다림.. 다운로드 받아보기도 아까움 ",1
관람객영화를 다 보고 숨은 의미를 찾으면 의심스러웠던 장면들이 이해되서 좋았어요. 보는 중에는 핵심장면의 브금이 소름끼치고 가장 인상깊었어요ㅎㅎ ,8
ㅋㅋㅋ..겟아웃에 반해서 2년만에 영화관가서 봤더니 ㄹㅇ아니 무슨 개연성없고 마지막 반전 하나빼고 걍 내용 다 예상되고 그냥 살인 추격스토리?ㅋㅋㅋㅋ아진짜 대실망겟아웃 좋게보고 보려하시는분들 보지마세여 ,2
관람객마지막 한번의 반전을 위한 지루하고 미친 영화 ,1
이거 볼시간에 그냥 바깥에 지나다니는 자동차 구경하든지 하늘 보셈.. 그게 더 재밌음 ,1
도저히 안되겠어서 난생 처음 평점 남깁니다. 제발 보지 마세요 제발요 음식물쓰레깁니다.. ,1
보는내내 짜증만 남. 새롭고 해석하는게 좋은 사람은 좋아 할 수도 있겠으나 영화에 메세지를 담은게 아닌 메세지를 억지로 영화에 끼워 넣은 느낌임. 개연성이 전혀 없고 그냥 보는내내 기분 나쁜 영화 ,2
거지 같은 영화임. 재미 더럽게 없음 ,1
이게 재밌다고ㅡ? 복제인간이냐 ,2
도대체 하고 싶은 말이 뭔지도 모르겠고 총체적 난국이에요 하.. 진짜 돈이 아까웠어요...진짜... ,1
이렇게 스토리 없는 영화처음봄 노잼 ,1
피해의식이 너무 강한 느낌의 영화라 보는내내 불편 흑인으로 이런이야기하는게 이해는가지만 너무 과함 ,5
개연성도 없고 설명도 부족하고 그냥 놀래키기만 하는 영화... 겟아웃은 진짜 재밌게봤는데...영화 속이 숨겨진 의미만 많으면 뭐하나... 지루하고 재미가없는데 ,1
거울의방 장면보고 괜찮을줄 알았는데 너무 유치하더라!솔직히 영화에 대한 아이디어는 정말 참신한데 풀어가는게 너무 지루하고 3류 코미디같은 느낌....근데 소재는 진짜 특이하고 좋음!겟아웃보다 재미있을줄 알았는데 재미...,2
나는 2시간을 버리고싶다 하는 분들 보시면 됩니다 ,1
똥이야 똥 돈아깝다 내 돈 아오 ,1
리뷰 처음남깁니다. 보고나면 화납니다. 이건 진짜 아니에요. 무슨 생각으로 이딴걸 영화라고 만들었는지...하... ,2
영화 욕 잘 안하는데 진심 열받게 재미없는 영화 오랜만....별 1점도 아깝다 ,1
"두번 정도까지는 아닌데 나름 전개흐름은 좋았음,피 싫어하거나 잔인한거 싫어하시는 분들은 매우 비추 ",8
스토리와 소재는 좋다.하지만 내용을 풀어내는 스타일이 약간 지루할 순 있다 사람마다 다르겠지만 겟아웃이 너무 재밌어서 어스보러온 사람은 다소 실망적일 수도 있다..물론...게아웃과 비교 안하면 재밌다 ㅋㅋㅋ난 너무 ...,9
관람객스토리가 약하고 억지스러움 ,2
억지로 만든 스토리 같아서 별로입니다 ,6
한대 줘박고싶네..자기가 월클인줄 아는듯 ,1
이건아니다...나가고싶다... ,4
별 5개준 애들아진지하게 니네 아빠 엄마 형 누나 동생 자식들이돈이랑 시간내서 이영화 보기를 바라는거니?진짜 그렇게 살지마라 제발 ,1
ㅠㅠ공포영화 진짜 좋아하소 겟아웃도 좋았는데너무 별로 였어요 지루해서 주인공 아줌마 언제 맞아죽나.. 하면서 봄..  스토리가 별루에요 ,6
도대체 어떤 철학적 의미와 사상이 담겨 있는지 설명좀ㅋㅋ 평점 10점 주면서 미친영화라고 하는데 어느 부분에서 깨달음을 얻어야 하는건지 본인들은 알고있나 궁금함 ,4
